Lemma,PoS,Unnamed: 2,Freq,Ra,Disp
time,NoC,%,1833,100,0.98
year,NoC,%,1639,100,0.96
people,NoC,%,1256,100,0.95
way,NoC,%,1108,100,0.97
man,NoC,%,1003,100,0.95
day,NoC,%,940,100,0.97
thing,NoC,%,776,100,0.92
child,NoC,%,710,100,0.94
MR,NoC,%,673,100,0.84
government,NoC,%,670,100,0.88
work,NoC,%,653,100,0.96
life,NoC,%,645,100,0.96
woman,NoC,%,631,100,0.95
system,NoC,%,619,100,0.89
case,NoC,%,613,100,0.92
part,NoC,%,612,100,0.97
group,NoC,%,607,100,0.94
number,NoC,%,606,100,0.95
world,NoC,%,600,100,0.96
house,NoC,%,598,100,0.95
area,NoC,%,585,100,0.93
company,NoC,%,579,100,0.91
problem,NoC,%,565,100,0.95
service,NoC,%,549,100,0.93
Place,NoC,%,534,100,0.98
hand,NoC,%,532,100,0.92
party,NoC,%,529,100,0.88
school,NoC,%,529,100,0.93
country,NoC,%,486,100,0.93
point,NoC,%,484,100,0.95
week,NoC,%,476,100,0.94
member,NoC,%,471,100,0.9
end,NoC,%,458,100,0.98
state,NoC,%,440,100,0.9
word,NoC,%,438,100,0.95
family,NoC,%,428,100,0.95
fact,NoC,%,426,100,0.96
head,NoC,%,402,100,0.92
side,NoC,%,398,100,0.97
month,NoC,%,398,100,0.95
business,NoC,%,394,100,0.93
night,NoC,%,393,100,0.93
eye,NoC,%,392,100,0.87
Home,NoC,%,390,100,0.95
question,NoC,%,390,100,0.95
information,NoC,%,387,100,0.92
power,NoC,%,385,100,0.94
per_cent,NoC,%,384,100,0.88
change,NoC,%,384,100,0.93
interest,NoC,%,376,100,0.94
money,NoC,%,375,100,0.95
development,NoC,%,375,100,0.92
book,NoC,%,374,100,0.95
water,NoC,%,372,100,0.94
other,NoC,%,367,100,0.97
form,NoC,%,365,100,0.93
room,NoC,%,364,100,0.92
level,NoC,%,360,100,0.94
car,NoC,%,353,100,0.93
council,NoC,%,348,100,0.89
policy,NoC,%,348,100,0.91
market,NoC,%,346,100,0.92
court,NoC,%,344,100,0.86
effect,NoC,%,336,100,0.93
result,NoC,%,334,100,0.94
idea,NoC,%,328,100,0.96
use,NoC,%,328,100,0.93
study,NoC,%,327,100,0.86
job,NoC,%,326,100,0.95
name,NoC,%,326,100,0.96
report,NoC,%,325,100,0.88
body,NoC,%,325,100,0.96
line,NoC,%,323,100,0.97
law,NoC,%,318,100,0.91
face,NoC,%,315,100,0.88
friend,NoC,%,315,100,0.88
Road,NoC,%,313,100,0.94
authority,NoC,%,313,100,0.92
minister,NoC,%,305,100,0.77
rate,NoC,%,303,100,0.91
hour,NoC,%,302,100,0.96
door,NoC,%,302,100,0.89
office,NoC,%,300,100,0.96
right,NoC,%,299,100,0.93
war,NoC,%,297,100,0.94
Mother,NoC,%,295,100,0.92
person,NoC,%,290,100,0.93
reason,NoC,%,289,100,0.96
view,NoC,%,289,100,0.95
term,NoC,%,288,100,0.91
period,NoC,%,283,100,0.93
centre,NoC,%,282,100,0.93
figure,NoC,%,282,100,0.94
society,NoC,%,282,100,0.93
police,NoC,%,278,100,0.89
city,NoC,%,275,100,0.95
need,NoC,%,273,100,0.95
million,NoC,%,272,100,0.89
community,NoC,%,272,100,0.92
kind,NoC,%,271,100,0.96
