Lemma,PoS,Freq(ipm),R,D,Doc
войско,s,119.4,100,91,2236
применение,s,119.3,100,84,4124
комиссия,s,119.3,100,88,3544
капитан,s,119.0,100,89,1342
работник,s,119.0,100,92,3916
обеспечение,s,118.8,98,84,4100
офицер,s,118.7,100,92,1906
фамилия,s,118.1,100,95,2820
предел,s,118.0,100,92,4827
выборы,s,117.7,98,89,3025
ученый,s,117.4,100,92,3235
бутылка,s,117.1,99,92,2143
бой,s,117.0,100,93,2286
теория,s,116.5,100,82,2364
зона,s,116.4,100,91,3520
отдел,s,116.2,100,94,3477
зуб,s,116.0,100,93,2315
разработка,s,115.9,100,87,4271
личность,s,115.6,100,92,3091
товар,s,115.5,100,87,3128
гора,s,115.5,100,95,2847
метр,s,115.2,100,96,3462
праздник,s,115.0,100,95,3597
влияние,s,114.9,100,89,4292
читатель,s,114.7,100,92,3567
удовольствие,s,114.5,100,96,3482
актер,s,114.4,99,87,1827
слеза,s,114.2,100,93,2390
учитель,s,113.8,100,94,2675
ответственность,s,113.8,100,87,4121
акт,s,113.6,99,84,2830
боль,s,113.3,100,95,2655
множество,s,113.3,100,92,3881
особенность,s,113.0,100,88,4562
показатель,s,112.9,99,81,3297
корабль,s,112.5,99,75,1763
звук,s,112.4,100,95,2590
впечатление,s,112.3,100,96,3655
частность,s,112.0,100,91,5354
детство,s,111.9,100,96,2944
профессор,s,111.8,100,94,2557
вывод,s,111.8,100,92,4509
доля,s,111.4,100,92,4314
норма,s,111.3,100,89,3755
прошлое,s,111.2,100,94,3516
командир,s,110.9,100,87,1371
коридор,s,110.8,100,93,2041
поддержка,s,110.6,100,92,5024
рамка,s,110.6,100,90,5230
враг,s,110.3,100,94,2585
этап,s,110.3,100,91,4310
черт,s,110.2,99,92,2089
дед,s,110.1,100,91,1546
собрание,s,109.9,100,90,3325
прием,s,109.8,100,94,3784
болезнь,s,109.6,100,96,3064
клетка,s,109.6,100,81,1757
кожа,s,109.5,100,90,2319
заявление,s,109.3,100,86,3640
сравнение,s,109.1,100,91,4940
попытка,s,109.1,100,95,4456
расчет,s,108.9,100,91,4025
депутат,s,108.7,99,89,3285
комитет,s,108.1,100,90,3769
знак,s,108.0,100,95,3241
дядя,s,107.5,100,90,1479
учет,s,107.4,100,87,4193
хлеб,s,107.4,100,94,2352
чай,s,106.8,100,93,2178
режим,s,106.7,100,92,4109
целое,s,106.6,100,90,5015
вирус,s,106.5,97,68,747
выражение,s,106.4,100,96,3127
зима,s,106.0,100,96,3250
здоровье,s,106.0,100,94,3768
десяток,s,105.7,100,96,4334
глубина,s,105.6,100,92,2986
сеть,s,105.5,100,91,3481
студент,s,105.4,100,95,2737
секунда,s,105.2,100,94,2527
скорость,s,105.2,100,93,3180
поиск,s,105.0,100,95,4086
суть,s,104.9,100,95,4566
налог,s,104.7,99,90,2549
ошибка,s,104.4,100,96,3635
доход,s,103.6,100,89,3149
режиссер,s,103.5,98,88,1848
поверхность,s,103.4,100,85,2795
ощущение,s,103.3,100,96,3122
карта,s,103.0,100,95,2632
станция,s,103.0,100,94,2636
клуб,s,103.0,100,93,2994
революция,s,102.9,100,93,2458
колено,s,102.8,100,92,2028
стекло,s,102.8,100,94,2539
министерство,s,102.8,100,91,4096
этаж,s,102.7,100,95,2397
высота,s,101.9,100,93,3190
бабушка,s,101.8,100,92,1927
трубка,s,101.7,100,92,1616
